,assets,mean_lum_mask,std_lum_mask,mean_lum,std_lum
0,Asset0001,0.26650748,0.1039603,0.13015002,0.13015002
1,Asset0002,0.40212867,0.078331314,0.1691978,0.1691978
2,Asset0003,0.32008824,0.08134007,0.14243245,0.14243245
3,Asset0004,0.30957243,0.08649237,0.13629618,0.13629618
4,Asset0005,0.31618613,0.091973506,0.12929271,0.12929271
5,Asset0006,0.34530446,0.0814986,0.1423135,0.1423135
6,Asset0007,0.40376496,0.108018324,0.15278728,0.15278728
7,Asset0008,0.35378727,0.08419011,0.1345228,0.1345228
8,Asset0009,0.34692207,0.11580938,0.11837247,0.11837247
9,Asset0010,0.28380176,0.1032673,0.108348355,0.108348355
10,Asset0011,0.36842307,0.10854018,0.13845007,0.13845007
11,Asset0012,0.42795184,0.14011648,0.18053178,0.18053178
12,Asset0014,0.33692795,0.103744045,0.14835167,0.14835167
13,Asset0015,0.34268972,0.114927426,0.15825279,0.15825279
14,Asset0016,0.2641216,0.10828366,0.115409024,0.115409024
15,Asset0017,0.28422266,0.091834806,0.10798702,0.10798702
16,Asset0018,0.24342825,0.099688716,0.098980285,0.098980285
17,Asset0020,0.4100306,0.11999015,0.15972383,0.15972383
18,Asset0021,0.3621663,0.08502875,0.13524616,0.13524616
19,Asset0022,0.42353317,0.13521087,0.12825154,0.12825154
20,Asset0024,0.43263465,0.13274679,0.15246816,0.15246816
21,Asset0026,0.3676268,0.076162815,0.14731008,0.14731008
22,Asset0027,0.3846154,0.096799545,0.16378033,0.16378033
23,Asset0028,0.39515796,0.1254865,0.14764483,0.14764483
24,Asset0029,0.3300554,0.10121374,0.12893786,0.12893786
25,Asset0030,0.3308456,0.10292578,0.13521598,0.13521598
26,Asset0031,0.163792,0.09940798,0.077895656,0.077895656
27,Asset0032,0.33565906,0.100651115,0.12584352,0.12584352
28,Asset0033,0.3130683,0.102135785,0.12320849,0.12320849
29,Asset0034,0.36686334,0.11661332,0.15790665,0.15790665
30,Asset0035,0.49293384,0.11505228,0.18024044,0.18024044
31,Asset0036,0.36441875,0.06329672,0.16907188,0.16907188
32,Asset0037,0.28714246,0.112784564,0.109017745,0.109017745
33,Asset0039,0.35697794,0.08338972,0.1289867,0.1289867
34,Asset0040,0.16713291,0.08730916,0.062174987,0.062174987
35,Asset0041,0.21217956,0.086344086,0.09301575,0.09301575
36,Asset0042,0.33577088,0.083976455,0.1265837,0.1265837
37,Asset0043,0.1888171,0.09148984,0.09374462,0.09374462
38,Asset0044,0.22049674,0.10599228,0.10929676,0.10929676
39,Asset0045,0.14441957,0.11101736,0.07596256,0.07596256
40,Asset0046,0.36939648,0.09290841,0.17275153,0.17275153
41,Asset0047,0.32080472,0.09934897,0.14681749,0.14681749
42,Asset0048,0.44772378,0.13801493,0.16703598,0.16703598
43,Asset0049,0.32337552,0.10178913,0.13487287,0.13487287
44,Asset0050,0.43497676,0.089289285,0.1632826,0.1632826
45,Control01,0.33309546,0.15602827,0.043447364,0.043447364
46,Control02,0.33035243,0.16095681,0.052292597,0.052292597
47,Control03,0.31936687,0.16496362,0.04221839,0.04221839
48,Control04,0.30848375,0.17796981,0.052076355,0.052076355
49,Control05,0.3308058,0.16136974,0.056558643,0.056558643
50,Surprise01,0.34675545,0.09517569,0.095348306,0.095348306
51,Surprise02,0.39776164,0.16939048,0.14499997,0.14499997
52,Surprise03,0.26792732,0.23425023,0.15309025,0.15309025
53,Surprise04,0.4970903,0.35326523,0.1961059,0.1961059
